Key,"Spanish (Mexico), es_MX","English, en-US"
EditarTareaTootTip,Editar esta tarea,Edit this task
EditarTipo,Editar Tipo,Edit Type
EditarTipoEquipo,Editar Tipo de Equipo,Edit Equipment Type
EditarTipoEquipoPregunta,¿Desea editar el tipo de equipo?,Are you sure you want to edit the type of equipment record?
EditarTipoEstacion,Editar Tipo Estación,Edit station type
EditarTipoEstacionPregunta,¿Desea editar el registro de tipo de estación?,Are you sure you want to modify the station type record?
EditarTransaccionesAsignadas,Edita las transacciones asignadas a la factura.,Edits the transactions assigned to this invoice.
EditarTransportista,Editar Transportista,Edit Carrier
EditarUsuarioPregunta,¿Desea editar al usuario?,Are you sure you want to edit the specified user?
EjemploToleranciaProveedorPista,Ejemplo: 0.02% equivale a 2 lts de tolerancia por cada 100 lts entregados,Example: 0.02% equals to 2 lts of tolerance per every 100 lts delivered
ElegirDias,Elegir Días,Choose days
ElegirReporte,Elegir Reporte,Select Report
ElegirTarea,Elegir Tarea,Select Task
EliminarRegistro,Eliminar Registro,Delete record
EnCurso,En Curso,In progress
EnDespacho,En Despacho,In Transaction
Enero,Enero,January
EneroCortos,ENE,JAN
EnEstacionEstaciones,En Estación o Estaciones,At Station or Stations
EnMantenimiento,En Mantenimiento,Maintenance
EnPipaPipas,En Pipa o Pipas,In Tank Truck or Tank Trucks
EnProgreso,En Proceso,In progress
EnProgresoSinEntrada,En Proceso SIN ENTRADA,In progress without reception
EnRaca,En estación,At station
Enterado,Enterado,Confirm
Entrada,Entrada,Entry
Entrega,Entrega,Delivery
ENTREGADOS,ENTREGADOS,DELIVERED
EnUnTotalDe,En un total de,In a total of
EnviarCambios,Enviar Cambios,Send Changes
Equipo,Equipo,Equipment
EquipoDesactivado,Equipo Desactivado,Deactivated equipment
EquipoEstacion,Equipo de Estación,Station Equipment
EquipoNoTieneCargasEnSistema,Este Equipo aún no cuenta con alguna carga en el Sistema,This Equipment does not yet have any dispatch in the System
EquipoPipa,Equipo de Pipa Móvil,Tank Truck Equipment
Equipos,Equipos,Equipment
EquiposEstaciones,Equipos de Estaciones,Station Equipments
EquiposMAN,Equipos Mantenimiento,Maintenance Equipment
EquiposMayorConsumo,Equipos con mayor consumo,Equipment with the highest consumption
EquiposMayorConsumoDiesel,Equipos con Mayor Consumo de Diesel,Equipment with Higher Diesel Consumption
EquiposMayorTiempoMuertoEntreCargas,Equipos con Mayor Tiempo Muerto entre Cargas,Equipment with Longer Time-outs between Charges
EquiposPipas,Equipos,Equipments
ErrorAlLigarFactura,Error al ligar factura.,Error while linking invoice.
ErrorFormatearFrecuenciaCorreo,Ocurrió un error inesperado al formatear la frecuencia del trabajo automático,An unexpected error occurred while formatting the automatic job frequency
EsManual,Es Manual,Is Manual
Espanol,Español (México),Spanish (Mexico)
EspecifiqueLasHoras,Especifique las Horas,Specify the Hours
EspecifiqueLosDias,Especifique los días,Specify the Days
EsperarCorreo,"Este correo podría tardar unos momentos en llegar, sea paciente.","This email may take a few moments to arrive, please be patient."
EsSupervisor,Es Supervisor,Supervisor
EsSupervisorToggleDescripcion,Activa funcionalidades especiales solo para supervisores o personal autorizado.,Enable special features only for supervisors or authorized personnel.
Establezca,Establezca,Set
Estacion,Estación,Station
Estaciones,Estaciones,Stations
EstacionesApp,Estaciones,Stations
EstacionesMoviles,Estaciones Móviles,Mobile Stations
EstacionesReal,Estaciones,Stations
Estado,Estado,Status
EstadoControlCombustibles,Estado de Control de Combustibles,Diesel Control Status
EstadoCorreoExito,Se cambio el estado del correo automático con éxito,Automatic mail status changed successfully
EstamosRecuperandoInformacioEstacion,Estamos recuperando la información de la estación,We are retrieving the station information
Estatus,Estatus,Status
EstatusCombustibles,Estatus Combustibles,Fuel Status
EstatusCritico,Crítico,Critical
EstatusDisponibles,Estatus Disponibles,Available Status
EstatusOk,Estatus Ok,Status Ok
EstatusRespuesta,Estatus de Respuesta,Answer Status
EstatusTareas,Estatus Tareas,Tasks Status
EstatusTLS,Estatus de sistema,System status
EstaViendoLaInformacionDe,Se encuentra viendo la información ,You are viewing the information for 
EsteTanqueRecibeBombeado,Este tanque recibe bombeado,This tank receives pumping
Eventos,Eventos,Events
Evidencia,Evidencia,Evidence
Excepcion,Excepción,Exception
Explicacion0700HoraCorte,Al seleccionar 07:00 se toma en cuenta jornada laboral Ej: 01/01/22 = [01/01/22 07:00 - 02/01/22 07:00],Upon selecting 07:00 it'll take into account a complete shift Eg: 01/01/22 = [01/01/22 07:00 - 02/01/22 07:00]
Explicacion2359HoraCorte,Al seleccionar 23:59 se toman en cuenta días completos,Upon selecting 23:59 it'll take the complete days
ExportarReporte,Exportar reporte,Export Report
ExportarReporteBoton,Exportar reporte,Export Report
ExportarReporteMermaBoton,Exportar reporte merma,Export Shrinkage Report
FactorCorreccion,Factor de Corrección,Correction Factor
FactorCorreccionDispositivo,Factor de Corrección Dispositivo,Device Correction Factor
FactorCorregido,Factor Corregido,Corrected Factor
FactorDeCorreccion,Factor de Correccción,Correction Factor
FactorDeCorreccionDispositivo,Factor de Correccción Dispositivo,Device Correction Factor
Factura,Factura,Invoice
FacturaLigadaConExito,Factura ligada con éxito.,Invoice linked successfully.
Facturas,Facturas,Invoices
FacturasSinAsignar,Facturas sin Asignar,Unassigned Invoices
FacturaTransaccionCreada,La factura de esta transacción ya se encuentra creada,The invoice for this transaction has already been created
Familia,Familia,Family
Familias,Familias,Families
Fase,Fase,Phase
FaseUnica,Fase Única,Single Phase
FavorCompletarCampo,Favor de completar el campo,Please complete the pending field
Febrero,Febrero,February
FebreroCortos,FEB,FEB
Fecha,Fecha,Date
FechaDespacho,Fecha de Despacho,Consumption Date
FechaEntrada,Fecha Entrada,Entry Date
FechaHora,Fecha Hora,Date Time
FechaHoraCreacion,Fecha Hora Creación,Creation Date Time
FechaHoraFinal,Fecha Hora Final,Final date
FechaHoraFinalizacion,Fecha Hora Finalización,Ending Date Time
FechaHoraInicial,Fecha Hora Inicial,Initial date
FechaModificacion,Fecha Modificación,Modified Date
FechaProximaCarga,Cargar antes de la siguiente fecha,Load before the following date
FechaRegistro,Fecha Registro,Date Created
Fechas,Fechas,Dates
FechaUltimaCarga,Última fecha de carga,Last Load Date
Filtrar,Filtrar,Filter
FiltrarGraficoPipa,Filtrar gráfico por pipa,Filter graph per tank truck
FiltrarGraficoPorTanque,Filtrar gráfico por tanque,Filter graph per tank
FiltrarModulos,Filtrar Módulos,Filter Modules
FiltrarNombreOperador,Filtrar por nombre de operador,Filter by operator name
FiltrarPorNombre,Filtrar por nombre,Filter by name
Fin,Fin,End
FinalCarga,Finalización Carga,End Dispatch
FinalizacionCarga,Finalización Carga,Load Completion
Finalizado,Finalizado,Finished
FinalizadoSinEntrada,Finalizado SIN ENTRADA,Finished without reception
Firma,Firma,Signature
FirmaAutorizado,Firma de autorizado,Authorization signature
FirmaDescripcion,Proporcionada en el proceso,Provided in the process
FirmaOperador,FirmaOperador,Operator Signature
FirmaPersonalResponsable,Firma persona responsable,Responsible staff member signature
FirmarParaAutorizar,Firmar para Autorizar Checklist.,Sign to authorize checklist.
FirmaSupervisor,Firma Supervisor,Supervisor Signature
Flujo,Flujo,Flow
Folio,Folio,Document Number
FolioBascula,Folio Bascula,Folio Scale
FolioFactura,Folio Factura,Invoice Number
FolioNumTransaccion,Folio/# Transacción,Folio/# Transaction
FormularioDeRecuperacion,Formulario de Recuperación,Recovery Form
FormularioInvalido,El formulario contiene datos inválidos,The form contains invalid data
Foto,Foto,Photo
FotoDescripcionEquipo,Imagen tomada del equipo en el evento,Imagen tomada del equipo en el evento
Frecuencia,Frecuencia,Frecuency
Friday,Viernes,Friday
Funcionalidades,Funcionalidades,Funcionalities
Garza,Garza,Garza
Gasolina,Gasolina,Gasoline
GenerarReporte,Generar Reporte,Generate Report
GenerarReporteConTodosEquiposListados,Genera un reporte con todos los equipos listados,Generate a report with all the equipment listed
Gerencia,Gerencia,Management
GerenciaAsignada,Gerencia Asignada,Assigned Management
Gerencias,Gerencias,Managements
GestionAltas,Altas,Setup
GestionEquipos,Gestión de Equipos,Equipment Managment
GFuelTitulo,Sistema G+Fuel,G+Fuel System
Grupos,Grupos,Groups
Guardar,Guardar,Save
HaConsumido,Ha consumido,Has consumed
HaDespachado,Ha Despachado,Has dispatched
HistorialConsumos,Historial de Consumos,Consumption History
Historiales,Historiales,History
HistorialEventos,Historial de Eventos,Event History
HistorialFacturas,Historial de Facturas,Invoice History
HistorialMerma,Historial Merma,Shrinkage History
HoraCorte,Hora de Corte,Cut-off Time
HoraCorteToolTip,Toma en cuenta la hora de corte para generar el reporte y delimita registros,Takes into account the hours displayed for a cut-off time and generate a report with it
HoraDeCorte,Hora de corte,Cut-off time
HoraFija,Hora Fija,Fixed Time
Horas,Horas,Hours
HorasTolerancia,Horas de Tolerancia,Tolerance Hours
Horometro,Horómetro,Hourmeter
HubName,Nombre Hub,Hub Name
Imagen,Imagen,Image
ImagenActual,Imagen Actual,Assigned Image
ImagenDeParticulas,Imagen de Partículas,Particle Image
ImagenDeSellos,Imagen de Sellos,Stamp Image
ImagenIngresar,Imagen a ingresar,Image
ImportarEquiposPipas,Importar Equipos Pipas,Import Equipments Tank truks
ImportarExcel,Importar Excel,Import Excel
InfoDetalladaISO,Información Detallada de Registro ISO,Detailed ISO Registration Information
InformacionDetallada,Información Detallada,Detailed Information
InformacionDetalladaConsumo,Información Detallada de Consumo,Detailed Consumption Information
InformacionDetalladaDelUsuario,Información Detallada del usuario,User's Detailed Information
InformacionDetalladaLog,Información Detallada del Log,Detailed Log Information
InformacionEnLitros,Informacion en Litros,Information in Liters
InformacionEstacion,Información de la Estación,Station's General Information
InformacionGeneral,Información General,General Information
InformacionGeneralChecklist,Información General Checklist,Checklist General Information
InformacionGeneralPlantilla,Información General de la Plantilla,Template General Information
InformacionServicio,Información del Servicio,Service Information
InformacionVehiculo,Información del Vehículo,Vehicle Information
InformaconGeneral,Informacon General,General information
Ingles,Inglés,English
InicialM,InicialM,InitialM
IniciarSesion,Iniciar Sesión,Login
Inicio,Inicio,Start
InicioCarga,Inicio Carga,Dispatch Start
Inventario,Inventario,Inventory
InventarioCalculado,Inventario Calculado,Calculated inventory
InventarioObtenido,Inventario Obtenido,Obtained inventory
IP,IP,IP
IrAModulo,Ir al Módulo:,Go to the Module:
JefeResponsable,Jefe Responsable,Responsible Supervisor
Jueves,Jueves,Thursday
JuevesCorto,JUE,THU
Julio,Julio,July
JulioCortos,JUL,JUL
Junio,Junio,June
JunioCortos,JUN,JUN
RevisionEntrada,La revisión de entrada no se llevó a cabo,The reception review was not carried out
LaSesionHaExpirado,La sesión ha expirado,The session has expired
LasEstacionesYProductoAsignado,Las estaciones y el producto asignado.,The stations and the assigned product.
LectoraAsignada,Lectora Asignada,Assigned Reader
Lenguaje,Lenguaje,Language
Leyenda,Leyenda,Legend
LigarRecepcion,Ligar Recepción,Reassign Reception
LigarTransacciones,Ligar Transacciones,Bind Transactions
Limite,Limite,Limit
LimiteDia,Limite del Día,Daily Limit
LimiteDiario,Limite Diario,Daily limit
LimiteMensual,Limite Mensual,Monthly Limit
LimitesCarga,"Los limites de carga del equipo, si los hay.",The load limits of the equipment if any.
LimitesCargaDelEquipo,Los limites de carga del equipo si los hay.,"The load limits of the equipment, if any"
LimitesConsumos,Límite de Consumos,Consumption Limits
LimiteSemanal,Limite Semanal,Weekly Limit
LimpiarTodosFiltros,Limpiar todos los filtros,Clear all filters
ListaDeUsuarios,Lista de Usuarios,User List
ListaRespuestas,Lista de Respuestas,Answer List
ListaTareas,Lista de Tareas,Tasks List
ListrosFacturados,Litros Facturados,Billed Liters
Litros,Litros,Liters
LitrosFactura,Litros Factura,Liters Invoice
LitrosFacturados,LITROS FACTURADOS,INVOICED LITERS
LitrosInventario,Litros,Inventory
LitrosNaturales,Litros Naturales,Natural Liters
LitrosPorHoraAbreviado,L/H,L/H
LitrosPreestablecidos,Litros Preestablecidos,Preset Liters
LitrosRecibidos,Litros Recibidos,Liters Received
LitrosRecibidosPorProveedor,LITROS RECIBIDOS POR PROVEEDOR,LITERS BY SUPPLIER
Lunes,Lunes,Monday
LunesCorto,LUN,MON
MantenerSesionIniciada,Mantener sesión iniciada,Keep me logged in
Mantenimiento,Mantenimiento,Maintenance
MantenimientoAb,MANTO,MANTO
Manual,Manual,Manual
ManualUsuario,Manual de Usuario,User's Manual
MapaDespachos,Mapa de Despachos,Consumptions Map
Marca,Marca,Brand
Martes,Martes,Tuesday
MartesCorto,MAE,TUE
Marzo,Marzo,March
MarzoCortos,MAR,MAR
Masa,Masa,Mass
Mascara,Máscara,Mask
MasModulos,Más Modulos,More Modules
Matutino,Matutino,Morning
Mayo,Mayo,May
MayoCortos,MAY,MAY
MayorConsumos,Equipos con mayor consumo de combustible,Equipment with higher fuel consumption
Mensaje,Mensaje,Message
Mensual,Mensual,Monthly
Merma,Merma,Shrinkage
MermaEn$MXN,Merma en $MXN,Shrinkage in $MXN
MermaObtenida,Merma Obtenida,Obtained Shrinkage
MermaPermisible,Merma Permisible,Allowable Shrinkage
MermaRecibida,Merma Recibidos,Received Shrinkage
Mermas,Mermas,Shrinkage
Mes,Mes,Month
MesActual,Mes Actual,This Month
MesAnterior,Mes Anterior,Prev Month
MesSiguiente,Mes Siguiente,Next Month
Miércoles,Miércoles,Wednesday
Miercoles,Miércoles,Wednesday
MiercolesCorto,MIE,WED
Minutos,Minutos,Minutes
MiPerfil,Mi Perfil,My Profile
Modelo,Modelo,Model
ModificacionPor,Modificado Por,Modified by
ModoMantenimiento,Modo Mantenimiento,Maintenance Mode
ModoMantenimientoActivadoConExitoMensaje,¡Modo mantenimiento activado!,Maintenance mode activated!
ModoMantenimientoDesactivadoConExitoMensaje,¡Modo mantenimiento desactivado!,Maintenance mode disabled!
ModoManual,Modo Manual,Manual Mode
Modulo,Módulo,Module
Modulos,Módulos,Modules
ModulosHabilitados,Módulos Habilitados,Enabled Modules
Monday,Lunes,Monday
Monitoreo,Monitoreo,Monitoring
MonitoreoBombeo,"""Monitoreo Bombeo""","""Pumping Monitoring"""
MonitoreoEntiempoReal,Monitoreo en tiempo real activado,Real-time monitoring activated
MonitoreoReal,Monitoreo en Tiempo Real,Real Time Monitoring
MonitoreoTanques,Monitoreo Tanques,Tank Monitoring
MostrarDetalles,Mostrar Detalles,Show details
MostrarEquipos,Elegir equipo,Select a vehicle
MostrarFacturasSinAsignarHint,Click aquí para mostrar las facturas sin asignar.,Click here to show the unassigned invoices.
MostrarImagenToolTip,Mostrar Imagen,Display Image
MostrarInformaciónDetalladaToolTip,Mostrar Información Detallada,Show more information
MostrarTransaccionesSinAsignarHint,Click aquí para mostrar las facturas sin asignar.,Click here to show the unassigned transactions.
Motivo,Motivo,Motive
MotivoMovimiento,Motivo,Motive
NameDB,Nombre Base de Datos,Name DB
NecesitaCargar,Necesita Cargar,Needs to refuel
NecesitaConfirmarLaCancelacion,Necesita confirmar la cancelación.,I need to confirm the cancelation.
NecesitaraCargarPronto,Necesitará cargar pronto,Will need to refuel soon
NecesitaSeleccionarGerencia,Necesita seleccionar una gerencia obligatoriamente,Select management
Nivel,Nivel,Level
NivelesPrioridad,Niveles de Prioridad,Priority Levels
NivelesPrioridadTareasMAN,Niveles de Prioridad de Tareas Mantenimiento,Priority Levels of Maintenance Tasks
No,No,No
NoApiResult,No se encontró información,There was no Information found
NoAplica,No Aplica,Does not apply
NoAsignado,No asignado,Unassigned
NoAutorizado,No Autorizado,Not Authorized
NoCuentaConConexion,No cuenta con conexión a la Estación,You do not have connection to the station
NoDespachosParaExportar,No se encuentran despachos para exportar,There are no transactions to expoert.
NoEncontrado,NO ENCONTRADO,NOT FOUND
NoEncontradoCargasEquipos,No se han encontrado cargas de equipos,No equipment dispatch found
NoHaDespachado,No ha despachado,Has not dispatched
NoHayCoincidencias,No hay coincidencias con tu busqueda...,There are no matches with your search...
NoHayImagenActual,No hay imagen,There is not an image
NoHayImagenMostrarToolTip,No hay imagen para mostrar,There is no image to display
NoHayRespuestasParaMostrar,No hay respuestas para mostrar.,There are no answers yet.
NoImagenPervia,No hay imagen previa,There is not an previous image
Nombre,Nombre,Name
NombreAccionAutomatica,Favor de especificar el nombre de la acción automática,Please specify the name of the automatic action
NombreArea,Nombre del área,Area name
NombreAreaPipas,Nombre del Area de Pipas,Tank truck location's name
NombreCompleto,Nombre Completo,Full Name
NombreEquipo,Nombre Equipo,Equipment's name
NombreEstacion,Nombre de la Estación,Station's name
NombreOperador,Nombre de Operador,Operator's name
NombrePersona,Nombres,First Name
NombrePipa,Nombre Pipa,Tank Truck's Name
NombrePrioridad,Nombre de Prioridad,Priority Name
NombreRemoto,Nombre Remoto,Remote Name
NombreRol,Nombre Rol,Role Name
NombreRolAvisoEspecificar,Favor de especificar el nombre del rol,Please specify the role's name
NombreTareaDuplicado,¡Nombre de tarea duplicado!,Duplicate task name!
NombreUsuario,Nombre de Usuario,Username
NoNecesitaCargar,No necesita cargar,Doesn't need to refuel
NoRecibe,No Recibe,Does not receive
NORESUELTOS,NO RESUELTOS,NOT SOLVED
NoSeDetectaFlujo,"No se detecta flujo, bombeo inactivo","No flow detected, inactive pump"
NosEncontramosEnLaSemana,Nos encontramos en la Semana,We are in the week
NoSeRecibenDatosActualizados,No se reciben datos actualizados. Favor de verificar la estación,No updated data is received. Please check the station
Notificaciones,Mostrar Notificaciones,Show Notifications
NoVehiculoPresente,No hay Vehículo Presente,No Vehicle Present
Noviembre,Noviembre,November
NoviembreCortos,NOV,NOV
NuevaPlaneacion,Nueva Planeación,New Planning
NuevoRegistro,Nuevo Registro,New record
Numero,Número,Number
NumeroDeTransaccion,Número de Transacción,Transaction Number
NumeroDeTransacciones,Número de Transacción,Transaction Number
NumeroEconomico,Número económico,Economic Number
NumeroFactura,Número de Factura,Invoice Number
NumeroPrioridad,Número de Prioridad,Priority Number
NumeroReservaEnAlamacen,Número de reserva del Tag en almacen físicamente,Tag reservation number in storage
NumeroSerie,Número de Serie,Serial Number
NumeroTag,Nmero de tag,Tag number
NumeroTransaccionesLigadas,# Transacciones Ligadas,# Linked Transactions
Observaciones,Observaciones,Observations
Obtenida,Obtenida,Obtained
Octubre,Octubre,October
OctubreCortos,OCT,OCT
OlvideMiContraseña,¿Olvidaste tu contraseña?,Forgot your password?
Opciones,Opciones,Options
OpcionesLogin,Configuración de la apariencia,Appearance Settings
Operador,Operador,Operator
Operadores,Operadores,Operators
OperadoresMAN,Operadores Mantenimiento,Maintenance Operators
OperadoresPipa,Operadores,Operators
OPresioneAquiParaMonitorearTodas,¡O Presione aquí para monitorear todas a la vez!,Or Click here to monitor all at once!
Orden,Orden,Order
OrdenPMMX,Orden PMMX,Order PMMX
OrdenTrabajo,Orden de Trabajo,Work order
OrdenZPMA,Orden ZPMA,ZPMA Order
Origen,Origen,Origin
Origenes,Orígenes,Origins
Pagina40,Pagina 404,404 Page
PaginaMantenimiento,Pagina Mantenimiento,Maintenance Page
PaginaNoAutorizado,Pagina No Autorizado,Unauthorized Page
ParaModificarLaEstacionAsignada,"Para modificar las estaciones asignadas, dirigirse directamente a la página de las mismas","To modify the assigned stations, go directly to their page"
Parar,Parar,Stop
Password,Contraseña,Password
PasswordDB,Contraseña Base de Datos,PasswordDB
PasswordRemota,Password Remota,Remote Password
Pedido,Pedido,Order
Pendiente,Pendiente,Pending
pendientesRevision,Pendientes de Revisión,Pending Review
Permisible,Permisible,Allowable
Permisos,Permisos,Permissions
PermisosAvisoEspecificar,Favor de especificar permisos del rol,Please specify role's permissions
PermisosOtorgados,Permisos Otorgados,Permissions Granted
Personal,Personal,Staff Members
PersonalMAN,Personal Mantenimiento,Maintenance personnel
PersonalResponsable,Persona Responsable,Responsible staff Member
PesoBruto,Peso Bruto,Gross Weight
PesoNeto,Peso Neto,Net Mass
PesoTara,Peso Tara,Tare Weight
Pipa,Pipa,Tank Truck
Pipas,Pipas,Tank Truck
PipasAb,PIPAS,TT
Planeacion,Planeación,Planning
PlaneacionRecepcion,Planeación Recepción,Reception Planning
Plantilla,Plantilla,Template
Plantillas,Plantillas,Templates
PlantillaSinTareas,"Esta plantilla no tiene tareas aún. Cree una, por favor...",This template has no tasks yet. Create one please...
PlantillasMAN,Plantillas Mantenimiento,Maintenance Templates
PodraSolicitarOtroCodigo,Podrá solicitar otro código en,You will be able to request another code within
Porcentaje,Porcentaje,Percentage
PorcentajeAlmacenRegla,El porcentaje introducido no puede ser mayor a 99.99%,
PorcentajeBajo,Porcentaje Bajo,Low Percentage
PorcentajeCriticas,Porcentaje de tareas críticas,Critical tasks percentage
PorcentajeCritico,Porcentaje Crítico,Critical percentage
PorcentajeCriticoRegla,El porcentaje crítico no puede ser mayor que el porcentaje bajo,Critical percentage cannot be bigger than low percentage
PorcentajeCumplimiento,% Cumplimiento,% Fulfillment
PorcentajeEfectividad,Porcentaje estatus OK,Percentage OK status
PorcentajePermisible,Porcentaje Permisible,Allowable Percentage
PorcentajeTareasNoaplican,Porcentaje de tareas que no aplican,Tasks percentage that do not apply
PorcentajeTareasPendientes,Porcentaje de tareas que requieren atención,Tasks percentage requiring attention
PorFavorEspere, Por favor espere...,Please wait...
Posicion,Posición,Position
PrecioUnitario,Precio Unitario,Unit Price
PresetLitros,PresetLitros,PresetInventory
Presion,Presión,Pressure
PresioneAutorizar,Presione para autorizar checklist.,Press to authorize checklist
PresioneParaCambiarContra,Presione para establecer su nueva contraseña de inició de sesión,Press to set your new login password
PresioneParaMasInformacion,Presione para ver más información,Press to see more information
PresioneParaRevisarSuCodigo,Presioné para verificar si su código de recuperación es correcto,Press to verify if your recovery code is correct.
PresioneParaVerListaRespuestasToolTip,Presione para ver mas detalles,Press to see more details
Prioridad,Prioridad,Priority
ProcentajeCritico,Procentaje Crítico,Critical Percentage
Producto,Producto,Product
Productos,Productos,Products
ProductosOrquesta,Productos Orquesta,Orquesta Products
PromedioConsumosMensuales,Promedio de Consumos Mensuales,Average monthly Consumption
PromedioMensual,Promedio Mensual,Monthly Average
PromedioSemanal,Promedio Semanal,Weekly Average
Prorrateo,Prorrateo,Proration
Proveedor,Proveedor,Supplier
Proveedores,Proveedores,Suppliers
PuedeAgregarTareas,Puede agregar tareas,You can add tasks
PuedeAgregarTareasDesdeElChecklist,Puede agregar nuevas tareas,You can add new tasks
PuedeAgregarTareasExtra,Puede agregar tareas extra al checklist,Add extra task
PuedeRealizarCargasManuales,Si este equipo puede realizar cargas manuales.,If this equipment can perform manual transactions.
ReadMe,Leéme,Read me
Realizado,Realizado,Finished
RealizadoPor,RealizadoPor,Made by
RealizandoConsulta,Realizando consulta,Running query
RealizandoSolicitudCargaRemota,Realizando Solicitud de Carga Remota,Making Remote Transaction Request
RealizandoSolicitudCargaRemotaProceso,Solicitud de Carga Remota En Proceso,Remote Transaction Request In Process
ReAsignar,Re-Asignar,Re-Assign
ReasignarRecepcion,Reasignar Recepción,Reassign Reception
ReasignarTransacciones,Reasignar Transacciones,Reassign Transactions
Recepcion,Recepción,Reception
RecepcionAb,REC,REC
RecepcionDiariaLtsCaturados,RECEPCIÓN DIARIA DE DIESEL (LITROS FACTURADOS) POR PROVEEDOR,DAILY DIESEL RECEPTION (INVOICED LITERS) BY SUPPLIER
RecepcionDiariaSemana,Recepción diaria de la Semana,Daily reception of the week
RecepcionTanques,Recepción Tanques,Reception
Recibe,Recibe,Receive
RecibeBombeo,Recibe Bombeo,Receives Pumping
RecibeDe,Recibe De,Receives From
Recibido,Recibido,Received
RECIBIDOS,RECIBIDOS,RECEIVED
RecibiendoInformacionDeBahias,Recibiendo información de Bahías de la Estación,Receiving Bay information from Station
RecibiendoInformacionDeEstados,Recibiendo información de Estados de la Estación,Receiving State information from Station
RecibirTodosChecklist,Recibe Todos los Checklist,Receives all Checklist
ReconectadoEstacion,Estamos reconectandonos la estación,We are reconnecting the station
RecuperandoInformacionEstacion,Estamos recuperando la información de la estación,We are retrieving the station information
RecuperarCredenciales,Recuperación de Cuenta,Account Recovery
RecuperarCuenta,Recuperar mi cuenta,Recover my account
RegistradoPor,Registrado Por,Registered By
RegistroActivadoConExitoMensaje,¡Registro activado existosamente!,This record has been successfully activated!
RegistroBorradoConExitoMensaje,¡Registro borrado existosamente!,This record has been successfully deleted!
RegistroCreadoConExitoMensaje,¡Registro creado existosamente!,This record has been successfully created!
RegistroDesactivadoConExitoMensaje,¡Registro desactivado existosamente!,This record has been successfully deactivated!
RegistroEditadoConExitoMensaje,¡Registro editado existosamente!,This record has been successfully modified!
RegistroPor,Registro Por,Created by
Remanente,Remanente,Remainder
Remision,Remisión,Remission
RemoverTransacciones,Remover Transacciones,Remove Transactions
RemoverTransaccionesDescripcion,Desasocia las transacciones de la factura completamente y deja las transacciones/factura libres.,Splits the transactions from the invoice completely and leaves the transactions/invoice free.
RemueveSelloMinimo2,Se remueve un campo de sello dejando un mínimo de 2,"Remove a stamp, leaving a minimum of two"
Reporte,Reporte,Report
ReporteConsumos,Reporte de Consumos,Consumption Report
ReporteDelMes,Reporte del Mes,Monthly report
ReporteDeSemana,Reporte de la Semana,Report of the Week
ReporteExcel,Reporte EXCEL,EXCEL Report
ReporteFactura,Reporte de Factura,Invoice Report
ReporteGeneradoPorFechaUbicacion,Reporte generado por fecha y/o ubicación seleccionados,Report based on the selected date and/or time
ReportePorFechas,Reporte por fechas,Report by dates
ReportesRecepcion,Reportes Recepcion,Reception reports
REPOSICION,Reposición,Replacement
RequeridoNumero,El campo debe de ser número,The field has to be a number
RequerimientosParaAutorizarCarga,Los requerimientos del equipo para autorizar la carga.,Equipment requirements to authorize loading.
RequiereFirmaCliente,Requiere firma del cliente,Customer signature required
RequiereFirmaOperador,Requiere firma operador,Operator signature required
RequiereFoto,Requiere foto,Requires photo
RequiereHorometro,Requiere Horometro,Hourmeter required
Reserva,Reserva,Reservation
ReservacionCancelada,Reservación cancelada.,Reservation cancelled.
Reservas,Reservas,Reservations
RESERVED_CHANGEPASSWORD,Cambio de Contraseña,Password Change
RESERVED_EMAIL,Email,Email
RESERVED_INCORRECT_LOGIN,Login Incorrecto,Incorrect Login
RESERVED_MMS_PASSWORD_RESET_EMAIL_SUBJECT,Restablece tu contraseña de G+MMS,Reset your G+MMS password
RESERVED_MMS_REGISTRATION_EMAIL_SUBJECT,Bienvenido a G+MMS,Welcome to G+MMS
RESERVED_MMS_USER_CREATED_EMAIL_SUBJECT,Tu cuenta G+MMS ha sido creada,Your G+MMS account has been created
RESERVED_NAME,Nombre,Name
RESERVED_PASSWORD,Contraseña,Password
RESERVED_PASSWORD_RESET,Contraseña Restablecida,Password Reset
RESERVED_PASSWORD_RESET_CODE,Código de restablecimiento de contraseña,Password reset code
RESERVED_REGISTER,Registro,Registration
RESERVED_TELEPHONE,Teléfono,Telephone
RESERVED_USERNAME,Nombre de Usuario,Username
RESERVED_VERIFICATION_CODE,Código de Verificación,Verification Code
RESERVED_WELCOME,Bienvenido,Welcome
Responsable,Responsable,Responsible
ResponsableEquipo,Responsable del Equipo,Responsible of the Vehicle
Responsables,Responsables,Responsible
RespuestasChecklist,Respuestas Checklist,Checklist Answer
RestablecerCampos,Restablecer,Empty fields
RESUELTOS,RESUELTOS,SOLVED
Resultados,Resultados,Results
Resumen,Resumen,Summary
ResumenDia,Resumen del día,Daily summary
RevisarAFuturo,Revisar a Futuro,Check later
RevisarBandeja,Revise su bandeja de entrada y coloque él código de recuperación que se la ha enviado.,Check your inbox and enter the recovery code that was sent to you.
RevisarCodigo,Verificar código,Verify code
Rol,Rol,Role
Roles,Roles,Roles
Sábado,Sábado,Saturday
Sabado,Sábado,Saturday
SabadoCorto,SAB,SAT
Salida,Salida,Departure
Salidas,Salidas,Exits
Salio,Salió,Left
SalioFechaHora,Fecha-Hora de salida,Departure Date-Time
